iteration,movieId,title,rating
0,750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),4.410785441490791
0,56782,There Will Be Blood (2007),4.275370223482221
0,1252,Chinatown (1974),4.02415587953421
0,79132,Inception (2010),3.71486429779302
0,150,Apollo 13 (1995),3.6203351871711305
0,8636,Spider-Man 2 (2004),3.4890464438651314
0,58559,"Dark Knight, The (2008)",3.452906986740257
0,165,Die Hard: With a Vengeance (1995),3.442924345967582
0,11,"American President, The (1995)",3.34730940930402
0,1210,Star Wars: Episode VI - Return of the Jedi (1983),3.3280276570737017
1,292,Outbreak (1995),3.0004429243570487
1,454,"Firm, The (1993)",2.981018660855954
1,329,Star Trek: Generations (1994),2.8652777445726896
1,410,Addams Family Values (1993),2.7996871016627756
1,161,Crimson Tide (1995),2.712706569430689
1,339,While You Were Sleeping (1995),2.71000826065726
1,300,Quiz Show (1994),2.622266375576733
1,434,Cliffhanger (1993),2.476248905647818
1,208,Waterworld (1995),2.4283658326735162
1,380,True Lies (1994),2.354999291973516
2,1610,"Hunt for Red October, The (1990)",2.726575458917377
2,904,Rear Window (1954),2.712445628983862
2,4995,"Beautiful Mind, A (2001)",2.671372100023205
2,1237,"Seventh Seal, The (Sjunde inseglet, Det) (1957)",2.6594388798989583
2,262,"Little Princess, A (1995)",2.6490710019071
2,5995,"Pianist, The (2002)",2.646886682647562
2,3266,Man Bites Dog (C'est arrivé près de chez vous) (1992),2.6157604221260176
2,930,Notorious (1946),2.60045844523158
2,68157,Inglourious Basterds (2009),2.598191727045491
2,420,Beverly Hills Cop III (1994),2.595634887535982
3,653,Dragonheart (1996),2.1818408647469916
3,1234,"Sting, The (1973)",2.099293665310093
3,1584,Contact (1997),2.080957416833021
3,2501,October Sky (1999),2.065573381623263
3,25,Leaving Las Vegas (1995),2.053740583037124
3,50,"Usual Suspects, The (1995)",2.043186820269826
3,1299,"Killing Fields, The (1984)",2.036930624698994
3,1035,"Sound of Music, The (1965)",2.0301342072855624
3,1219,Psycho (1960),2.015794538775099
3,112552,Whiplash (2014),2.0042855250590024
4,2186,Strangers on a Train (1951),1.9959410171945324
4,3978,"Legend of Bagger Vance, The (2000)",1.9947275464392307
4,76093,How to Train Your Dragon (2010),1.9874892170680356
4,1259,Stand by Me (1986),1.9792585185536267
4,21,Get Shorty (1995),1.9656814252349275
4,48516,"Departed, The (2006)",1.9597775323551188
4,16,Casino (1995),1.957070894011346
4,48394,"Pan's Labyrinth (Laberinto del fauno, El) (2006)",1.9519309498702369
4,594,Snow White and the Seven Dwarfs (1937),1.9477612752976161
4,48385,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006),1.947219582645344
5,1653,Gattaca (1997),1.792743152616016
5,541,Blade Runner (1982),1.7748072392296357
5,1,Toy Story (1995),1.773343241577476
5,17,Sense and Sensibility (1995),1.7716705533820825
5,106920,Her (2013),1.7615519897253429
5,527,Schindler's List (1993),1.7600938400746158
5,1246,Dead Poets Society (1989),1.7589336888812779
5,5989,Catch Me If You Can (2002),1.758897658355449
5,362,"Jungle Book, The (1994)",1.7585179207247557
5,54286,"Bourne Ultimatum, The (2007)",1.750035646257372
6,1307,When Harry Met Sally... (1989),2.383038407582479
6,36,Dead Man Walking (1995),2.3826053743651583
6,539,Sleepless in Seattle (1993),2.369200878808535
6,99114,Django Unchained (2012),2.3648277840235634
6,587,Ghost (1990),2.356648045511776
6,661,James and the Giant Peach (1996),2.3538097723855955
6,34,Babe (1995),2.35115298774367
6,3507,"Odd Couple, The (1968)",2.332728178242339
6,3157,Stuart Little (1999),2.3312849052858735
6,119145,Kingsman: The Secret Service (2015),2.3199531970096925
